Tf	wirrc_sta	wirrc_tra	fidc_sta	fidc_tra	wirre_sta	wirre_tra	fide_sta	fide_tra
1.4	5.384584	584.020442	0.99980195032	0.85692438172	4.7420066	450.2714232	0.99977693092	0.86286551406
1.41	5.185863	581.236848	0.99980784424	0.85751733423	4.576197	447.724256	0.99978232421	0.8637334674
1.42	4.993888	578.443529	0.99981357227	0.8581457733	4.415501	445.1737896	0.99978765648	0.86463044967
1.43	4.80849	575.640683	0.99981914014	0.85880927357	4.2598106	442.620232	0.9997929325	0.86555582531
1.44	4.629504	572.828509	0.99982455395	0.85950739116	4.1090154	440.0637888	0.99979815706	0.8665089491
1.45	4.456763	570.007207	0.99982982002	0.86023966413	3.9630066	437.504664	0.99980333494	0.86748916668
1.46	4.290103	567.176975	0.99983494493	0.86100561259	3.8216754	434.9430616	0.99980847087	0.86849581487
1.47	4.129358	564.338016	0.99983993537	0.8618047391	3.6849138	432.3791832	0.99981356941	0.86952822222
1.48	3.974364	561.490531	0.99984479461	0.86264022073	3.552613	429.8132304	0.99981862822	0.87059263274
1.49	3.824958	558.634721	0.99984953642	0.86350474929	3.4246682	427.2454032	0.99982366611	0.87167502382
1.5	3.680978	555.77079	0.99985416394	0.86440085417	3.3009722	424.6759	0.99982867875	0.87278110406
1.6	2.505092	526.72987	0.99989536053	0.87496671462	2.2748738	398.9315312	0.99987781639	0.88498800718
1.7	1.708656	497.104044	0.99992884368	0.88797741975	1.5634594	373.2287576	0.9999235743	0.89876527463
1.8	1.173204	467.103602	0.9999522747	0.90267204522	1.0789626	347.7445928	0.99995911024	0.9133715883
1.9	0.81398500001	436.940247	0.99996217786	0.9182223159	0.75079620001	322.6417088	0.99997786123	0.92809021281
2	0.57334700001	406.824309	0.99996019008	0.93379174145	0.527265	298.0678024	0.9999806418	0.94226875955
2.1	0.411972	376.961771	0.99995394551	0.94859882017	0.3734066	274.1552112	0.99997582149	0.95535369871
2.2	0.302685	347.551217	0.99995207159	0.96197713525	0.2667306	251.0207424	0.99997297468	0.9669168283
2.3	0.22704600001	318.780836	0.99995820017	0.97340829677	0.19261540001	228.765696	0.99997634217	0.97665797516
2.4	0.173236	290.825595	0.99996974552	0.98262036627	0.1409682	207.4760392	0.9999838591	0.98446586835
2.5	0.13408200001	263.844707	0.99998168559	0.98950042844	0.1046218	187.222728	0.99999116935	0.99033046042
2.6	0.105201	237.979474	0.99999052271	0.99411317493	0.078560200006	168.0621312	0.99999558903	0.99435252938
2.7	0.083596000007	213.35159	0.99999555474	0.99671622408	0.059297800003	150.0365544	0.99999719582	0.99675869114
2.8	0.066923000013	190.061943	0.99999771785	0.99766657417	0.044428999995	133.1748384	0.99999746233	0.99783090614
2.9	0.053392000012	168.18995	0.9999981366	0.99738465629	0.032424199997	117.493036	0.99999759085	0.9978897651
3	0.041900000003	147.793409	0.99999756123	0.99629496734	0.022532200003	102.9951416	0.99999792989	0.99725373875
3.01	0.040843000004	145.836492	0.99999747045	0.99616173588	0.021650600001	101.61028	0.99999796981	0.99716680972
3.02	0.039802000007	143.894736	0.99999737277	0.99601731623	0.0207882	100.2371808	0.99999800955	0.9970710875
3.03	0.038777000011	141.968165	0.99999727341	0.99587748969	0.019945800002	98.8758288	0.99999804879	0.99697751113
3.04	0.037766999998	140.0568	0.99999716785	0.99572677546	0.019123400005	97.5262088	0.99999808722	0.99687531693
3.05	0.036774000005	138.160659	0.99999706152	0.99558177796	0.018320999995	96.1883048	0.99999812443	0.99677618518
3.06	0.035798000013	136.27976	0.9999969497	0.99542621353	0.017539400002	94.8620992	0.99999816023	0.99666862817
3.07	0.034837000005	134.414117	0.99999683797	0.99527741394	0.016777799995	93.5475744	0.99999819415	0.99656499622
3.08	0.033893999998	132.563743	0.99999672148	0.99511838576	0.016037800005	92.2447112	0.99999822604	0.99645314705
3.09	0.03296700001	130.728649	0.99999660586	0.99496709459	0.015318600003	90.953488	0.99999825547	0.99634603105
3.1	0.032058000006	128.908845	0.99999648623	0.99480592826	0.014621000002	89.673884	0.99999828231	0.9962309197
3.11	0.031166000003	127.104336	0.99999636824	0.99465339505	0.013945000003	88.4058784	0.9999983062	0.99612129487
3.12	0.030292000002	125.315129	0.99999624696	0.99449135266	0.013290600005	87.1494464	0.99999832697	0.9960039087
3.13	0.029436000002	123.541227	0.99999612804	0.99433876361	0.012658599996	85.9045648	0.99999834439	0.99589270755
3.14	0.028598000004	121.78263	0.99999600658	0.99417704155	0.012049000002	84.671208	0.99999835822	0.99577398955
3.15	0.027779000007	120.039339	0.99999588813	0.9940255177	0.011461799996	83.4493504	0.99999836844	0.99566210036
3.16	0.026978000012	118.311349	0.99999576788	0.99386524481	0.010897800006	82.2389656	0.99999837465	0.99554294769
3.17	0.026197	116.598659	0.99999565124	0.99371584033	0.010356200004	81.0400248	0.99999837706	0.99543121314
3.18	0.025436000008	114.90126	0.99999553355	0.99355807643	0.0098378000039	79.8525	0.99999837516	0.99531247583
3.19	0.024695	113.219145	0.99999542002	0.9934117775	0.0093434000056	78.6763616	0.99999836939	0.99520169193
